Drug1,Drug2,Cell_Line,Senstivity,Synergy,Fold
METHOTREXATE,TEMOZOLOMIDE,MSTO,39.5901,-35.68618452,3
METHOTREXATE,TEMOZOLOMIDE,MDAMB436,20.57245,-7.236724805,3
METHOTREXATE,TEMOZOLOMIDE,LOVO,0.1424,-4.572229584,3
METHOTREXATE,TEMOZOLOMIDE,LNCAP,4.4479,-21.34879819,3
METHOTREXATE,TEMOZOLOMIDE,HT29,14.12415,-12.95499924,3
METHOTREXATE,TEMOZOLOMIDE,HT144,0,-11.56125021,3
METHOTREXATE,TEMOZOLOMIDE,HCT116,37.22645,-39.83946789,3
METHOTREXATE,TEMOZOLOMIDE,ES2,25.1283,-12.59259402,3
METHOTREXATE,TEMOZOLOMIDE,EFM192B,0.34305,-9.552468481,3
METHOTREXATE,TEMOZOLOMIDE,DLD1,16.9086,-3.989885215,3
METHOTREXATE,TEMOZOLOMIDE,A427,27.65595,-12.89811972,3
METHOTREXATE,TEMOZOLOMIDE,A375,26.815,-16.05723943,3
METHOTREXATE,TEMOZOLOMIDE,A2780,40.83415,-0.539855345,3
METHOTREXATE,TEMOZOLOMIDE,A2058,36.925,-41.22732503,3
METHOTREXATE,SUNITINIB,ZR751,12.4132,-15.34042034,0
METHOTREXATE,SUNITINIB,VCAP,16.95155,-17.16750466,0
METHOTREXATE,SUNITINIB,UWB1289,32.09785,-1.082453494,0
METHOTREXATE,SUNITINIB,UACC62,20.07315,-8.134337499,0
METHOTREXATE,SUNITINIB,T47D,11.71375,-17.10641241,0
METHOTREXATE,SUNITINIB,SW837,19.7985,-14.18103886,0
METHOTREXATE,SUNITINIB,SW620,36.07335,-16.17773012,0
METHOTREXATE,SUNITINIB,SKOV3,17.2193,4.864874206,0
METHOTREXATE,SUNITINIB,SKMES1,27.84275,-21.39355787,0
METHOTREXATE,SUNITINIB,SKMEL30,21.0915,-14.39924506,0
METHOTREXATE,SUNITINIB,RPMI7951,21.4518,-10.91508031,0
METHOTREXATE,SUNITINIB,RKO,41.20025,-17.71620688,0
METHOTREXATE,SUNITINIB,OV90,4.84845,-7.623451233,0
METHOTREXATE,SUNITINIB,NCIH23,28.3314,-17.93498954,0
METHOTREXATE,SUNITINIB,NCIH2122,36.50105,-7.990593409,0
METHOTREXATE,SUNITINIB,NCIH1650,7.42675,-6.037105468,0
METHOTREXATE,SUNITINIB,MSTO,33.4972,-21.25303017,0
METHOTREXATE,SUNITINIB,MDAMB436,22.87245,-9.348887504,0
METHOTREXATE,SUNITINIB,LOVO,30.2657,-1.031290676,0
METHOTREXATE,SUNITINIB,LNCAP,19.96085,-9.92236147,0
METHOTREXATE,SUNITINIB,KPL1,25.7632,-12.60925887,0
METHOTREXATE,SUNITINIB,HT29,26.73905,-12.26749867,0
METHOTREXATE,SUNITINIB,HT144,7.15095,-2.878296152,0
METHOTREXATE,SUNITINIB,HCT116,38.6985,-23.43372074,0
METHOTREXATE,SUNITINIB,ES2,17.8906,-1.977805269,0
METHOTREXATE,SUNITINIB,EFM192B,9.5358,2.763981816,0
METHOTREXATE,SUNITINIB,COLO320DM,37.7695,-7.855086349,0
METHOTREXATE,SUNITINIB,CAOV3,20.9941,-13.28428266,0
METHOTREXATE,SUNITINIB,A427,36.04015,-11.17787683,0
METHOTREXATE,SUNITINIB,A375,28.6653,-11.79662018,0
METHOTREXATE,SUNITINIB,A2780,39.36375,-8.914358743,0
METHOTREXATE,SUNITINIB,A2058,37.0029,-14.35651076,0
METHOTREXATE,SORAFENIB,ZR751,25.4789,-13.77416668,3
METHOTREXATE,SORAFENIB,VCAP,29.79745,-10.78044433,3
METHOTREXATE,SORAFENIB,UWB1289,34.38765,-7.584179789,3
METHOTREXATE,SORAFENIB,UACC62,34.03695,-6.095196056,3
METHOTREXATE,SORAFENIB,SW837,35.0348,-2.454895143,3
METHOTREXATE,SORAFENIB,SW620,41.60855,-5.248786244,3
METHOTREXATE,SORAFENIB,SKMES1,40.8633,-4.166770694,3
METHOTREXATE,SORAFENIB,SKMEL30,28.6053,-20.92983857,3
METHOTREXATE,SORAFENIB,RPMI7951,30.96275,-9.910346407,3
METHOTREXATE,SORAFENIB,RKO,42.4743,-10.97828721,3
METHOTREXATE,SORAFENIB,PA1,36.7016,-11.43831526,3
METHOTREXATE,SORAFENIB,OVCAR3,11.4588,-26.5596588,3
METHOTREXATE,SORAFENIB,OV90,25.4943,-0.512053884,3
METHOTREXATE,SORAFENIB,NCIH520,27.8482,-9.42254569,3
METHOTREXATE,SORAFENIB,NCIH23,37.35875,-8.880486582,3
METHOTREXATE,SORAFENIB,NCIH2122,40.96035,-6.963778665,3
METHOTREXATE,SORAFENIB,MSTO,39.6272,-13.03037032,3
METHOTREXATE,SORAFENIB,MDAMB436,33.00225,-2.153992789,3
METHOTREXATE,SORAFENIB,LOVO,25.12965,1.656346084,3
METHOTREXATE,SORAFENIB,LNCAP,30.4628,-8.470388805,3
METHOTREXATE,SORAFENIB,KPL1,30.2022,-12.80807153,3
METHOTREXATE,SORAFENIB,HCT116,41.65365,-17.03053188,3
METHOTREXATE,SORAFENIB,ES2,34.9062,-6.678892664,3
METHOTREXATE,SORAFENIB,EFM192B,15.71015,-9.628890252,3
METHOTREXATE,SORAFENIB,DLD1,38.7938,-1.530525847,3
METHOTREXATE,SORAFENIB,COLO320DM,40.50425,-6.562908691,3
METHOTREXATE,SORAFENIB,CAOV3,26.2744,-15.37338251,3
METHOTREXATE,SORAFENIB,A427,38.86475,-6.166366464,3
METHOTREXATE,SORAFENIB,A375,39.08855,-5.534227218,3
METHOTREXATE,SORAFENIB,A2780,39.22115,-5.747281962,3
METHOTREXATE,SORAFENIB,A2058,38.8645,-10.32858962,3
METHOTREXATE,PD325901,ZR751,16.43285,-14.25895131,4
METHOTREXATE,PD325901,VCAP,25.4697,5.317134339,4
METHOTREXATE,PD325901,UWB1289,26.33065,-8.109640349,4
METHOTREXATE,PD325901,UACC62,29.3519,-15.10373388,4
METHOTREXATE,PD325901,SW837,26.0194,4.241740352,4
METHOTREXATE,PD325901,SW620,38.1035,-16.05748437,4
METHOTREXATE,PD325901,SKOV3,0.36495,-0.22911954,4
METHOTREXATE,PD325901,SKMES1,38.5067,-2.806755873,4
METHOTREXATE,PD325901,SKMEL30,33.78115,-8.443924507,4
METHOTREXATE,PD325901,RPMI7951,24.3247,-23.67247034,4
METHOTREXATE,PD325901,RKO,43.23385,-26.86261098,4
METHOTREXATE,PD325901,OVCAR3,11.1033,-27.62275041,4
METHOTREXATE,PD325901,OV90,19.8446,-3.117623101,4
METHOTREXATE,PD325901,NCIH23,31.49485,-7.422561299,4
METHOTREXATE,PD325901,NCIH2122,38.82275,-2.111996235,4
METHOTREXATE,PD325901,NCIH1650,2.6548,-3.551375971,4
METHOTREXATE,PD325901,MSTO,41.71305,-13.0519968,4
METHOTREXATE,PD325901,MDAMB436,25.4975,-1.774970049,4
METHOTREXATE,PD325901,LOVO,20.24045,-11.54436348,4
METHOTREXATE,PD325901,LNCAP,11.34155,-11.13636331,4
METHOTREXATE,PD325901,KPL1,20.6109,-0.241121612,4
METHOTREXATE,PD325901,HT29,29.52835,-11.81256221,4
METHOTREXATE,PD325901,HT144,20.34925,0.584294256,4
METHOTREXATE,PD325901,HCT116,39.7949,-28.24807878,4
METHOTREXATE,PD325901,ES2,17.32885,-11.41722079,4
METHOTREXATE,PD325901,EFM192B,8.2838,19.24377644,4
METHOTREXATE,PD325901,COLO320DM,37.0975,2.627452431,4
METHOTREXATE,PD325901,CAOV3,21.7165,-0.721724312,4
METHOTREXATE,PD325901,A427,35.0014,11.4858558,4
METHOTREXATE,PD325901,A375,32.6564,-6.631839446,4
METHOTREXATE,PD325901,A2780,38.9698,-8.914021624,4
METHOTREXATE,PD325901,A2058,42.2181,-19.38027871,4
METHOTREXATE,MK-8776,VCAP,19.41905,-24.3180062,1
METHOTREXATE,MK-8776,UWB1289,40.74855,-6.632507173,1
METHOTREXATE,MK-8776,UACC62,19.18295,-1.555101068,1
METHOTREXATE,MK-8776,T47D,12.63775,-40.17065284,1
METHOTREXATE,MK-8776,SW620,37.04275,1.258513822,1
METHOTREXATE,MK-8776,SKOV3,16.76525,7.595562584,1
METHOTREXATE,MK-8776,SKMES1,37.5187,-16.42731554,1
METHOTREXATE,MK-8776,SKMEL30,34.3556,1.0272418,1
METHOTREXATE,MK-8776,RPMI7951,36.80045,-13.10079255,1
METHOTREXATE,MK-8776,RKO,44.19225,-15.71573371,1
METHOTREXATE,MK-8776,OVCAR3,20.97255,-23.72115882,1
METHOTREXATE,MK-8776,OV90,24.638,11.41738801,1
METHOTREXATE,MK-8776,NCIH520,16.99125,-11.52382182,1
METHOTREXATE,MK-8776,NCIH23,35.9512,-10.3582365,1
METHOTREXATE,MK-8776,NCIH2122,38.70075,-7.617320126,1
METHOTREXATE,MK-8776,NCIH1650,15.61985,-5.13781303,1
METHOTREXATE,MK-8776,MSTO,44.3334,-14.4594285,1
METHOTREXATE,MK-8776,MDAMB436,32.0076,3.332920698,1
METHOTREXATE,MK-8776,LOVO,29.8518,6.96963184,1
METHOTREXATE,MK-8776,LNCAP,11.8748,-17.32791323,1
METHOTREXATE,MK-8776,KPL1,19.27695,-15.60949767,1
METHOTREXATE,MK-8776,HT29,22.7644,-15.64250491,1
METHOTREXATE,MK-8776,HT144,5.91795,2.353749915,1
METHOTREXATE,MK-8776,HCT116,37.9053,-22.78299422,1
METHOTREXATE,MK-8776,ES2,38.5805,-2.734783945,1
METHOTREXATE,MK-8776,EFM192B,21.3649,7.854112332,1
METHOTREXATE,MK-8776,COLO320DM,37.86615,-5.626797744,1
METHOTREXATE,MK-8776,CAOV3,28.70905,-1.024761832,1
METHOTREXATE,MK-8776,A427,36.18705,2.772477064,1
METHOTREXATE,MK-8776,A375,37.29525,21.71829859,1
METHOTREXATE,MK-8776,A2780,37.59335,-1.026379236,1
METHOTREXATE,MK-8776,A2058,40.3296,-10.82459377,1
METHOTREXATE,MK-8669,ZR751,20.4801,-19.54908972,0
METHOTREXATE,MK-8669,VCAP,19.20635,-12.34087865,0
METHOTREXATE,MK-8669,UWB1289,30.73725,-3.832969352,0
METHOTREXATE,MK-8669,UACC62,16.81305,0.439413984,0
METHOTREXATE,MK-8669,SW837,21.3718,6.578491132,0
METHOTREXATE,MK-8669,SW620,37.2542,-4.19578072,0
METHOTREXATE,MK-8669,SKOV3,4.43835,4.914102283,0
METHOTREXATE,MK-8669,SKMES1,30.1018,-6.01954987,0
METHOTREXATE,MK-8669,RPMI7951,22.44135,-33.25390716,0
METHOTREXATE,MK-8669,RKO,42.72685,-25.07276741,0
METHOTREXATE,MK-8669,OV90,18.35185,-0.087903118,0
METHOTREXATE,MK-8669,NCIH23,27.9144,-15.00717349,0
METHOTREXATE,MK-8669,NCIH2122,40.62915,-1.43051643,0
METHOTREXATE,MK-8669,NCIH1650,4.55285,-3.728623322,0
METHOTREXATE,MK-8669,MSTO,41.50555,-23.51374829,0
METHOTREXATE,MK-8669,MDAMB436,21.8776,-10.76644461,0
METHOTREXATE,MK-8669,LOVO,9.40965,-4.623336845,0
METHOTREXATE,MK-8669,LNCAP,16.56995,-13.56511235,0
METHOTREXATE,MK-8669,KPL1,23.84755,-1.199721312,0
METHOTREXATE,MK-8669,HT29,15.77935,-2.024703769,0
METHOTREXATE,MK-8669,HT144,2.9679,5.233761684,0
METHOTREXATE,MK-8669,HCT116,38.38875,-25.58100925,0
METHOTREXATE,MK-8669,ES2,8.7153,-5.475801931,0
METHOTREXATE,MK-8669,EFM192B,12.8884,14.81466031,0
METHOTREXATE,MK-8669,DLD1,21.49545,-2.606550934,0
METHOTREXATE,MK-8669,COLO320DM,37.0061,2.994199368,0
METHOTREXATE,MK-8669,CAOV3,19.67475,-2.140574337,0
METHOTREXATE,MK-8669,A427,38.1117,21.96323406,0
METHOTREXATE,MK-8669,A2780,39.44105,-11.29365616,0
METHOTREXATE,MK-8669,A2058,41.38155,-21.66906573,0
METHOTREXATE,MK-5108,ZR751,16.7003,-18.65314763,0
METHOTREXATE,MK-5108,VCAP,21.43275,-22.0539202,0
METHOTREXATE,MK-5108,UWB1289,32.81045,0.464022178,0
METHOTREXATE,MK-5108,UACC62,16.85245,-6.309057908,0
METHOTREXATE,MK-5108,T47D,18.8194,5.224140924,0
METHOTREXATE,MK-5108,SW837,13.8069,-7.575962707,0
METHOTREXATE,MK-5108,SW620,39.30865,-3.174639353,0
METHOTREXATE,MK-5108,SKOV3,2.3739,3.687356316,0
METHOTREXATE,MK-5108,SKMES1,33.65445,-7.506174064,0
METHOTREXATE,MK-5108,RPMI7951,27.96845,-11.67215194,0
METHOTREXATE,MK-5108,RKO,41.904,-19.90048731,0
METHOTREXATE,MK-5108,PA1,30.0441,-29.22065381,0
METHOTREXATE,MK-5108,OV90,16.9111,2.966876464,0
METHOTREXATE,MK-5108,NCIH520,17.3608,-14.34791926,0
METHOTREXATE,MK-5108,NCIH23,29.74535,-10.98470425,0
METHOTREXATE,MK-5108,NCIH2122,41.76645,-6.557209247,0
METHOTREXATE,MK-5108,NCIH1650,3.36175,-5.826408808,0
METHOTREXATE,MK-5108,MSTO,41.5173,-12.79248306,0
METHOTREXATE,MK-5108,MDAMB436,25.697,0.678226415,0
METHOTREXATE,MK-5108,LNCAP,13.64385,-29.36170229,0
METHOTREXATE,MK-5108,KPL1,17.3848,-16.33137976,0
METHOTREXATE,MK-5108,HT144,1.3321,-7.349696025,0
METHOTREXATE,MK-5108,HCT116,39.51025,-16.7084026,0
METHOTREXATE,MK-5108,ES2,16.11895,-4.913414494,0
METHOTREXATE,MK-5108,EFM192B,9.70415,-8.815878598,0
METHOTREXATE,MK-5108,COLO320DM,36.87295,2.147571555,0
METHOTREXATE,MK-5108,CAOV3,26.19305,-3.653315179,0
METHOTREXATE,MK-5108,A427,37.7034,0.075802653,0
METHOTREXATE,MK-5108,A2780,40.88295,-8.739816621,0
METHOTREXATE,MK-5108,A2058,39.64785,-22.64513057,0
METHOTREXATE,MK-4827,ZR751,17.25975,-12.76752259,0
METHOTREXATE,MK-4827,VCAP,20.2724,-9.904866439,0
METHOTREXATE,MK-4827,UWB1289,32.07825,0.528035804,0
METHOTREXATE,MK-4827,T47D,18.5472,-6.913793863,0
METHOTREXATE,MK-4827,SW620,36.99745,-11.41188943,0
METHOTREXATE,MK-4827,SKOV3,0.08985,9.000379253,0
METHOTREXATE,MK-4827,SKMES1,33.3425,-2.248465996,0
METHOTREXATE,MK-4827,SKMEL30,12.8811,-16.18764437,0
METHOTREXATE,MK-4827,RPMI7951,24.699,2.530935136,0
METHOTREXATE,MK-4827,RKO,40.74605,-22.26111925,0
METHOTREXATE,MK-4827,OV90,16.40585,-7.481477437,0
METHOTREXATE,MK-4827,NCIH23,23.3142,-13.42669078,0
METHOTREXATE,MK-4827,NCIH2122,41.20915,4.824529513,0
METHOTREXATE,MK-4827,NCIH1650,2.53355,-1.344416476,0
METHOTREXATE,MK-4827,MSTO,29.78445,-23.78992633,0
METHOTREXATE,MK-4827,MDAMB436,26.4559,-1.187937527,0
METHOTREXATE,MK-4827,LOVO,2.0277,-7.987242446,0
METHOTREXATE,MK-4827,LNCAP,7.89565,-30.02924628,0
METHOTREXATE,MK-4827,KPL1,17.0219,-17.23660938,0
METHOTREXATE,MK-4827,HT29,21.72255,-2.456350514,0
METHOTREXATE,MK-4827,HT144,2.06905,-5.988838903,0
METHOTREXATE,MK-4827,HCT116,40.24675,-26.4602113,0
METHOTREXATE,MK-4827,EFM192B,6.50225,7.894259277,0
METHOTREXATE,MK-4827,COLO320DM,34.94375,-1.694006455,0
METHOTREXATE,MK-4827,CAOV3,30.5417,-12.55773895,0
METHOTREXATE,MK-4827,A427,35.2175,16.47744962,0
METHOTREXATE,MK-4827,A375,31.8425,-10.40122128,0
METHOTREXATE,MK-4827,A2780,37.8374,-8.901677252,0
METHOTREXATE,MK-4827,A2058,41.95485,-25.77083095,0
METHOTREXATE,MK-2206,ZR751,23.55395,-15.84614561,1
METHOTREXATE,MK-2206,VCAP,23.24605,-24.84040985,1
METHOTREXATE,MK-2206,UWB1289,33.2684,4.782560915,1
METHOTREXATE,MK-2206,UACC62,23.40725,13.12282483,1
METHOTREXATE,MK-2206,T47D,22.30285,-15.26166404,1
METHOTREXATE,MK-2206,SW620,39.1139,2.612740799,1
METHOTREXATE,MK-2206,SKOV3,15.9773,9.095823837,1
METHOTREXATE,MK-2206,SKMES1,34.7757,1.266148485,1
METHOTREXATE,MK-2206,RPMI7951,23.4875,-14.10145956,1
METHOTREXATE,MK-2206,RKO,44.003,-17.77559673,1
METHOTREXATE,MK-2206,OVCAR3,24.19655,-37.91312295,1
METHOTREXATE,MK-2206,OV90,15.3921,-1.196124891,1
METHOTREXATE,MK-2206,NCIH520,31.9177,-12.85406525,1
METHOTREXATE,MK-2206,NCIH23,28.47,-5.176210233,1
METHOTREXATE,MK-2206,NCIH2122,39.95625,-3.520805436,1
METHOTREXATE,MK-2206,NCIH1650,6.6868,3.716928256,1
METHOTREXATE,MK-2206,MSTO,40.23385,-15.34211611,1
METHOTREXATE,MK-2206,MDAMB436,25.3692,0.403029597,1
METHOTREXATE,MK-2206,LOVO,30.79155,-6.344415958,1
METHOTREXATE,MK-2206,LNCAP,26.9532,-8.945319726,1
METHOTREXATE,MK-2206,KPL1,27.0696,-6.633023744,1
METHOTREXATE,MK-2206,HT144,4.2019,12.39353008,1
METHOTREXATE,MK-2206,HCT116,41.9939,-19.1665728,1
METHOTREXATE,MK-2206,EFM192B,26.6705,-9.260611005,1
METHOTREXATE,MK-2206,COLO320DM,39.70565,15.18768115,1
METHOTREXATE,MK-2206,CAOV3,24.0887,19.10442966,1
METHOTREXATE,MK-2206,A427,39.34955,20.79890775,1
METHOTREXATE,MK-2206,A2780,40.97935,-0.892799528,1
METHOTREXATE,MK-2206,A2058,42.7838,-11.89008748,1
METHOTREXATE,LAPATINIB,ZR751,13.9134,-21.39017514,0
METHOTREXATE,LAPATINIB,VCAP,26.70845,1.13462101,0
METHOTREXATE,LAPATINIB,UWB1289,33.069,-11.03058551,0
METHOTREXATE,LAPATINIB,T47D,18.1791,-5.786565321,0
METHOTREXATE,LAPATINIB,SW837,24.538,2.550997488,0
METHOTREXATE,LAPATINIB,SW620,39.5887,5.021427679,0
METHOTREXATE,LAPATINIB,SKOV3,9.04605,0.578380975,0
METHOTREXATE,LAPATINIB,SKMES1,35.26105,-2.422142893,0
METHOTREXATE,LAPATINIB,SKMEL30,19.59485,5.564708758,0
METHOTREXATE,LAPATINIB,RPMI7951,29.4813,9.590753363,0
METHOTREXATE,LAPATINIB,RKO,44.2652,-15.48116337,0
METHOTREXATE,LAPATINIB,OV90,17.67515,8.784960032,0
METHOTREXATE,LAPATINIB,NCIH2122,41.40035,-1.408852264,0
METHOTREXATE,LAPATINIB,NCIH1650,17.41825,-11.14740855,0
METHOTREXATE,LAPATINIB,MSTO,38.6579,-2.399747544,0
METHOTREXATE,LAPATINIB,MDAMB436,25.69725,5.636321419,0
METHOTREXATE,LAPATINIB,LOVO,19.70455,4.158579974,0
METHOTREXATE,LAPATINIB,LNCAP,20.59965,13.75873418,0
METHOTREXATE,LAPATINIB,KPL1,19.8001,-17.16519062,0
METHOTREXATE,LAPATINIB,HT144,2.2543,-1.24593198,0
METHOTREXATE,LAPATINIB,HCT116,42.2916,-21.09596403,0
METHOTREXATE,LAPATINIB,EFM192B,23.515,-5.494639741,0
METHOTREXATE,LAPATINIB,COLO320DM,38.266,-6.119204312,0
METHOTREXATE,LAPATINIB,CAOV3,17.4768,-18.76535928,0
METHOTREXATE,LAPATINIB,A427,36.75055,7.165206436,0
METHOTREXATE,LAPATINIB,A375,33.06235,14.40611971,0
METHOTREXATE,LAPATINIB,A2780,39.2386,-3.609343196,0
METHOTREXATE,LAPATINIB,A2058,42.4424,-15.23182839,0
METHOTREXATE,L778123,ZR751,18.9571,-14.89736403,2
METHOTREXATE,L778123,VCAP,20.1348,-20.71818056,2
METHOTREXATE,L778123,UWB1289,28.40555,-0.5146256,2
METHOTREXATE,L778123,UACC62,16.74185,-7.326773571,2
METHOTREXATE,L778123,T47D,11.93935,-24.69357717,2
METHOTREXATE,L778123,SW620,38.4973,-1.989747291,2
METHOTREXATE,L778123,SKOV3,5.1601,2.980201562,2
METHOTREXATE,L778123,SKMES1,32.3773,-5.055415289,2
METHOTREXATE,L778123,SKMEL30,29.88595,-6.309349426,2
METHOTREXATE,L778123,RPMI7951,24.57705,-10.55791119,2
METHOTREXATE,L778123,RKO,38.7288,-14.04724001,2
METHOTREXATE,L778123,PA1,21.8663,-18.93924356,2
METHOTREXATE,L778123,OV90,18.58085,2.102016258,2
METHOTREXATE,L778123,NCIH520,18.19775,-4.503716123,2
METHOTREXATE,L778123,NCIH23,25.1849,-10.00780232,2
METHOTREXATE,L778123,NCIH2122,33.9379,-13.5456963,2
METHOTREXATE,L778123,NCIH1650,6.9299,-9.818025543,2
METHOTREXATE,L778123,MSTO,38.84435,-15.04663061,2
METHOTREXATE,L778123,MDAMB436,26.29695,-1.905328289,2
METHOTREXATE,L778123,LOVO,22.85465,-3.976776191,2
METHOTREXATE,L778123,LNCAP,14.8399,-14.71654382,2
METHOTREXATE,L778123,KPL1,23.8201,-17.57233522,2
METHOTREXATE,L778123,HT29,20.70775,-5.75513418,2
METHOTREXATE,L778123,HT144,8.45995,-3.105971225,2
METHOTREXATE,L778123,HCT116,40.1391,-16.09695281,2
METHOTREXATE,L778123,ES2,15.57465,-10.09575907,2
METHOTREXATE,L778123,EFM192B,10.06445,-5.735811723,2
METHOTREXATE,L778123,DLD1,25.16325,4.134955424,2
METHOTREXATE,L778123,COLO320DM,34.5707,-0.148419427,2
METHOTREXATE,L778123,CAOV3,20.3967,-4.925160739,2
METHOTREXATE,L778123,A427,36.6943,10.7723297,2
METHOTREXATE,L778123,A375,26.11955,-7.651290567,2
METHOTREXATE,L778123,A2780,41.54085,-5.601141825,2
METHOTREXATE,L778123,A2058,36.04135,-13.84771181,2
METHOTREXATE,ERLOTINIB,ZR751,20.4958,-8.751963613,2
METHOTREXATE,ERLOTINIB,VCAP,28.96955,10.67712152,2
METHOTREXATE,ERLOTINIB,UWB1289,29.2051,-18.03487663,2
METHOTREXATE,ERLOTINIB,UACC62,26.25795,8.646605099,2
METHOTREXATE,ERLOTINIB,T47D,21.69985,-16.00668607,2
METHOTREXATE,ERLOTINIB,SW837,24.3948,7.480763457,2
METHOTREXATE,ERLOTINIB,SW620,41.8772,5.752543584,2
METHOTREXATE,ERLOTINIB,SKOV3,15.3499,5.269008264,2
METHOTREXATE,ERLOTINIB,SKMES1,35.81905,-3.703172573,2
METHOTREXATE,ERLOTINIB,SKMEL30,18.0207,-0.557822297,2
METHOTREXATE,ERLOTINIB,RPMI7951,31.8896,-1.02661099,2
METHOTREXATE,ERLOTINIB,RKO,45.0513,-7.194164284,2
METHOTREXATE,ERLOTINIB,OVCAR3,15.9253,-35.74415604,2
METHOTREXATE,ERLOTINIB,OV90,16.78895,11.26981155,2
METHOTREXATE,ERLOTINIB,NCIH23,32.67195,0.398054462,2
METHOTREXATE,ERLOTINIB,NCIH2122,41.04015,-0.018158393,2
METHOTREXATE,ERLOTINIB,NCIH1650,21.4629,-6.9036946,2
METHOTREXATE,ERLOTINIB,MSTO,39.24385,7.930457421,2
METHOTREXATE,ERLOTINIB,MDAMB436,28.6744,8.456631316,2
METHOTREXATE,ERLOTINIB,LOVO,22.28545,-1.960145554,2
METHOTREXATE,ERLOTINIB,KPL1,23.16565,1.825662423,2
METHOTREXATE,ERLOTINIB,HT144,4.58245,-2.545984609,2
METHOTREXATE,ERLOTINIB,HCT116,44.51395,-17.90981756,2
METHOTREXATE,ERLOTINIB,EFM192B,13.1178,1.474540417,2
METHOTREXATE,ERLOTINIB,DLD1,31.72445,-7.827784359,2
METHOTREXATE,ERLOTINIB,COLO320DM,41.28255,5.19735738,2
METHOTREXATE,ERLOTINIB,CAOV3,19.0436,-23.4980577,2
METHOTREXATE,ERLOTINIB,A427,37.9395,13.48621872,2
METHOTREXATE,ERLOTINIB,A375,37.01665,22.87172523,2
METHOTREXATE,ERLOTINIB,A2780,41.0613,-3.936097748,2
METHOTREXATE,ERLOTINIB,A2058,43.7859,-7.975537017,2
METHOTREXATE,DINACICLIB,ZR751,24.1113,-8.314448418,0
METHOTREXATE,DINACICLIB,UWB1289,35.4018,-8.106426403,0
METHOTREXATE,DINACICLIB,T47D,19.4511,-25.36621389,0
METHOTREXATE,DINACICLIB,SW837,29.67315,-5.521070602,0
METHOTREXATE,DINACICLIB,SW620,40.6758,-12.67622232,0
METHOTREXATE,DINACICLIB,SKOV3,4.09385,-6.779404332,0
METHOTREXATE,DINACICLIB,SKMES1,37.4545,-4.337518716,0
METHOTREXATE,DINACICLIB,SKMEL30,38.33965,-8.22179839,0
METHOTREXATE,DINACICLIB,RPMI7951,37.6218,-5.174889393,0
METHOTREXATE,DINACICLIB,RKO,44.63075,-11.61599307,0
METHOTREXATE,DINACICLIB,OVCAR3,23.3474,-17.7021981,0
METHOTREXATE,DINACICLIB,OV90,23.5926,-4.132352446,0
METHOTREXATE,DINACICLIB,NCIH520,36.3963,-7.932825116,0
METHOTREXATE,DINACICLIB,NCIH460,34.03295,1.674388591,0
METHOTREXATE,DINACICLIB,NCIH23,39.2707,-13.65265379,0
METHOTREXATE,DINACICLIB,NCIH2122,43.50555,4.270992031,0
METHOTREXATE,DINACICLIB,NCIH1650,21.7033,-10.10463043,0
METHOTREXATE,DINACICLIB,MSTO,41.04525,-21.42852431,0
METHOTREXATE,DINACICLIB,MDAMB436,31.40095,1.962476457,0
METHOTREXATE,DINACICLIB,KPL1,32.23875,-13.88442443,0
METHOTREXATE,DINACICLIB,HT29,37.7136,-3.315125388,0
METHOTREXATE,DINACICLIB,HT144,18.2693,-0.593389974,0
METHOTREXATE,DINACICLIB,HCT116,42.71585,-33.4204808,0
METHOTREXATE,DINACICLIB,ES2,36.8896,-5.715895919,0
METHOTREXATE,DINACICLIB,EFM192B,25.27125,-2.835743195,0
METHOTREXATE,DINACICLIB,DLD1,38.3653,12.2109058,0
METHOTREXATE,DINACICLIB,COLO320DM,40.3821,2.568183003,0
METHOTREXATE,DINACICLIB,CAOV3,31.5986,-4.052257285,0
METHOTREXATE,DINACICLIB,A427,43.10715,-3.451416942,0
METHOTREXATE,DINACICLIB,A375,42.33955,1.604416375,0
METHOTREXATE,DINACICLIB,A2780,43.84855,-10.30343952,0
METHOTREXATE,DINACICLIB,A2058,40.42945,-13.74681739,0
METHOTREXATE,DASATINIB,VCAP,27.74235,9.709194998,4
METHOTREXATE,DASATINIB,UWB1289,36.257,-10.87087561,4
METHOTREXATE,DASATINIB,T47D,20.8355,3.41924118,4
METHOTREXATE,DASATINIB,SW837,24.5537,1.395049995,4
METHOTREXATE,DASATINIB,SW620,38.2394,-2.862696239,4
METHOTREXATE,DASATINIB,SKOV3,29.453,-3.191177964,4
METHOTREXATE,DASATINIB,SKMES1,33.6225,-16.56254524,4
METHOTREXATE,DASATINIB,SKMEL30,12.5611,-31.23841483,4
METHOTREXATE,DASATINIB,RPMI7951,30.10055,-24.52559262,4
METHOTREXATE,DASATINIB,RKO,41.63735,-25.01685668,4
METHOTREXATE,DASATINIB,PA1,37.18795,-34.07389116,4
METHOTREXATE,DASATINIB,OVCAR3,28.44345,-19.10754378,4
METHOTREXATE,DASATINIB,OV90,16.6054,-1.60676291,4
METHOTREXATE,DASATINIB,NCIH520,30.71165,-1.137888445,4
METHOTREXATE,DASATINIB,NCIH23,23.62755,-16.42572955,4
METHOTREXATE,DASATINIB,NCIH2122,42.6085,13.97280804,4
